Timestamp,Datetime,Std2Min,Elongation_L,Area_L,Elongation_M,Area_M,Elongation_R,Area_R,Brightness
1707023130,2024-02-04 13:05:30,212.77316,1.7468894280590108,2610.0,1.1716808128493172,4208.5,1.5130528167306059,2303.5,116.89957936929723
1707023140,2024-02-04 13:05:40,215.69406,1.7238361821231474,2312.0,1.1755274382651673,3799.5,1.5034427128284953,2009.0,113.81155040161057
1707023150,2024-02-04 13:05:50,215.51312,1.7375722117774353,2530.5,1.1611958085646772,4109.5,1.538217215832293,2230.0,116.0555258964053
1707023161,2024-02-04 13:06:01,217.12988,1.7670507267479298,2341.5,1.20471947479721,3850.0,1.5256132263475348,2085.0,114.35172730882073
1707023171,2024-02-04 13:06:11,213.94672,1.7214152226749646,2447.0,1.1509299254365026,3970.5,1.5041690883167698,2156.5,115.23358505873843
1707023181,2024-02-04 13:06:21,214.95708,1.7229199879625048,2423.5,1.129963529590156,3903.5,1.4986910667065836,2117.5,114.58595845797612
1707023191,2024-02-04 13:06:31,210.47137,1.1976657620472024,965.5,1.1305020652165825,1957.0,1.7426572148459138,2445.0,121.90238272183123
1707023201,2024-02-04 13:06:41,215.84059,1.7193085110822521,2415.5,1.1618482872445615,3929.0,1.5239864925258089,2112.5,122.97471021842253
1707023211,2024-02-04 13:06:51,213.3604,1.7441167837971123,2526.0,1.167493053262748,4118.5,1.532303588329251,2243.0,124.0505980824095
1707023221,2024-02-04 13:07:01,nan,,,,,,,nan
1707023232,2024-02-04 13:07:12,218.47363,1.7370785700235036,2295.0,1.1732486511796443,3797.0,1.5231668972820178,2025.0,113.78300759553129
1707023242,2024-02-04 13:07:22,218.12294,1.766236525825209,2331.5,1.161918385423375,3799.5,1.561258757509925,2047.5,114.1868090900292
1707023252,2024-02-04 13:07:32,211.33446,1.7103537138972613,2513.5,1.1311264215242858,4042.0,1.490825849249578,2177.0,115.82007792328216
1707023262,2024-02-04 13:07:42,212.93889,1.71303781793027,2544.5,1.1411671766798948,4110.5,1.4911175383798574,2228.5,116.1848504677866
1707023272,2024-02-04 13:07:52,214.2725,1.7442637980130682,2284.0,1.1470768785707104,3799.5,1.4520766435684267,1987.0,114.02818865821808
1707023282,2024-02-04 13:08:02,214.0791,1.744357585660038,2417.5,1.1776732638189642,3885.5,1.5186529318025772,2114.5,115.34897959186979
1707023292,2024-02-04 13:08:12,217.16777,1.74177693973705,2298.5,1.163815067663524,3803.5,1.5446979435716905,2067.0,114.39691331623958
1707023302,2024-02-04 13:08:22,216.59695,1.7580913768333082,2232.5,1.1580348139864565,3695.5,1.5081300801867543,1992.0,113.28072498948427
1707023313,2024-02-04 13:08:33,216.73628,1.7131496757442877,2350.0,1.1419725765572943,3816.0,1.4714868076771228,2029.0,114.12309492030437
1707023323,2024-02-04 13:08:43,215.333,1.7455786459781526,2364.5,1.142151696188799,3822.5,1.496131869466685,2052.5,114.2831329709379
1707023333,2024-02-04 13:08:53,1506.7969,1.531106301885437,688.0,9.619874266349058,1691.0,,,252.4061757078014
1707023343,2024-02-04 13:09:03,1216.4596,,,1.117680601780139,1141.0,,,238.92728595154142
1707023353,2024-02-04 13:09:13,215.85832,1.1713965497339154,3771.0,1.7512067554756114,2281.5,1.4800458083521737,2005.5,116.95405054128213
1707023363,2024-02-04 13:09:23,214.80092,1.1504452811031833,3842.0,1.74556873539653,2338.5,1.472779402084623,2018.5,117.4202348139815
1707023373,2024-02-04 13:09:33,219.56714,1.151789676993457,3721.5,1.7329841112283526,2257.0,1.507856831415645,2014.5,116.43741429882758
1707023384,2024-02-04 13:09:44,216.12251,1.133171773217785,3709.5,1.7216004386115102,2273.0,1.5026146842844097,1994.0,116.37647508884658
1707023394,2024-02-04 13:09:54,213.26318,1.6962616316001258,2463.5,1.1291121715042203,3969.0,1.4758625593544514,2133.5,115.1070556951364
1707023404,2024-02-04 13:10:04,213.94402,1.7270017081625768,2390.0,1.157244644006388,3874.5,1.5237310512907543,2123.0,114.28851548208841
1707023414,2024-02-04 13:10:14,211.61989,1.7312789867592115,2429.5,1.134134133793963,3939.5,1.4930078734456986,2126.5,114.7961635757328
1707023424,2024-02-04 13:10:24,215.83434,1.7385247328487776,2333.5,1.145588094240936,3795.5,1.4892638220001597,2035.0,113.87683479336809
1707023434,2024-02-04 13:10:34,216.51872,1.747437623281689,2232.5,1.1436400968571157,3637.0,1.5298278161213774,1980.0,112.78299261594906
1707023444,2024-02-04 13:10:44,217.16544,1.739772829338408,2218.0,1.1694637184117251,3670.0,1.4815010934774653,1916.0,112.79450813272871
1707023455,2024-02-04 13:10:55,215.28664,1.7118948440046555,2323.5,1.1441664611961673,3748.5,1.5140021390173248,2039.0,113.47621645804061
1707023465,2024-02-04 13:11:05,216.97476,1.7147247197221742,2180.0,1.1400693189613813,3578.0,1.5142071498312724,1919.5,111.9412162416393
1707023475,2024-02-04 13:11:15,216.09842,1.7248686842736347,2491.5,1.1678783171826583,4056.5,1.5175874076226752,2185.5,115.85392589520694
1707023485,2024-02-04 13:11:25,215.77554,1.7500992826871398,2352.0,1.1533975589509828,3896.5,1.5298697082912962,2098.5,114.6876345227802
1707023495,2024-02-04 13:11:35,211.08212,1.7287531961310474,2502.0,1.1487209601578519,4052.5,1.5081208123348642,2209.0,115.71751633039233
1707023505,2024-02-04 13:11:45,211.91847,1.7327703025423382,2641.5,1.1737300631813994,4294.5,1.5485173473058644,2323.0,117.54480187870652
1707023515,2024-02-04 13:11:55,221.25072,1.7497213258677546,2065.0,1.186547089704975,3466.0,1.5559817534456555,1848.5,111.09154777903592
1707023526,2024-02-04 13:12:06,212.7915,1.6927813633092612,2444.0,1.1368671652973348,3927.0,1.4774755690035242,2095.5,114.71510745027953
